OPDIV,CFDA Number,CFDA Program Title,Award Number,Award Title,Action Date,Recipient Name,City,State,Approp Code,Award Amount
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36488,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,Roanoke Chowan Community Health Center Inc,AHOSKIE,NC,C3,"$502,005 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36366,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Medical Resource Center for Randolph County, Inc.",ASHEBORO,NC,C3,"$602,870 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36354,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,C3,"$171,496 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36354,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,C3,"$665,661 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36354,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,C3,"$189,148 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36495,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,APPALACHIAN MOUNTAIN COMMUNITY HEALTH CENTERS,ASHEVILLE,NC,C3,"$631,705 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36495,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,APPALACHIAN MOUNTAIN COMMUNITY HEALTH CENTERS,ASHEVILLE,NC,C3,"$129,385 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36408,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,BAKERSVILLE COMMUNITY MEDICAL CLINIC,BAKERSVILLE,NC,C3,"$584,336 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36408,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,BAKERSVILLE COMMUNITY MEDICAL CLINIC,BAKERSVILLE,NC,C3,"$64,134 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36350,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,HIGH COUNTRY COMMUNITY HEALTH,BOONE,NC,C3,"$197,563 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36391,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,APPALACHIAN DISTRICT HEALTH DEPARTMENT,BOONE,NC,C3,"$620,540 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36350,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,HIGH COUNTRY COMMUNITY HEALTH,BOONE,NC,C3,"$508,522 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36414,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"PIEDMONT HEALTH SERVICES, INC",CHAPEL HILL,NC,C3,"$1,866,678 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36414,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"PIEDMONT HEALTH SERVICES, INC",CHAPEL HILL,NC,C3,"$51,602 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36351,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"CHARLOTTE COMMUNITY HEALTH CLINIC, INC",CHARLOTTE,NC,C3,"$547,080 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36514,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"C.W. Williams Community Health Center, Inc.",CHARLOTTE,NC,C3,"$700,025 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36351,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"CHARLOTTE COMMUNITY HEALTH CLINIC, INC",CHARLOTTE,NC,C3,"$182,360 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36393,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"WEST CALDWELL HEALTH COUNCIL, INC",COLLETTSVILLE,NC,C3,"$596,375 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36480,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Cabarrus Rowan Community Health Centers, Inc",CONCORD,NC,C3,"$5,216 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36480,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Cabarrus Rowan Community Health Centers, Inc",CONCORD,NC,C3,"$773,304 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36490,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"LINCOLN COMMUNITY HEALTH CENTER, INC",DURHAM,NC,C3,"$1,524,489 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36490,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"LINCOLN COMMUNITY HEALTH CENTER, INC",DURHAM,NC,C3,"$48,446 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36398,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,ROBESON HEALTH CARE CORPORATION,FAIRMONT,NC,C3,"$794,930 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36494,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"GOSHEN MEDICAL CENTER, INC",FAISON,NC,C3,"$80,885 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36494,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"GOSHEN MEDICAL CENTER, INC",FAISON,NC,C3,"$953,986 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36494,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"GOSHEN MEDICAL CENTER, INC",FAISON,NC,C3,"$595,874 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36389,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Gaston Family Health Services,Inc.",GASTONIA,NC,C3,"$1,863,590 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36504,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,GATEWAY COMMUNITY HEALTH CENTERS,GATESVILLE,NC,C3,"$186,759 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36504,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,GATEWAY COMMUNITY HEALTH CENTERS,GATESVILLE,NC,C3,"$369,401 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36381,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Triad Adult and Pediatric Medicine, Inc",GREENSBORO,NC,C3,"$286,077 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36381,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Triad Adult and Pediatric Medicine, Inc",GREENSBORO,NC,C3,"$144,936 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36381,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Triad Adult and Pediatric Medicine, Inc",GREENSBORO,NC,C3,"$327,812 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36503,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"BLUE RIDGE COMMUNITY HEALTH SERVICE, INC",HENDERSONVILLE,NC,C3,"$334,445 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36503,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"BLUE RIDGE COMMUNITY HEALTH SERVICE, INC",HENDERSONVILLE,NC,C3,"$1,291,440 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36402,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"RURAL HEALTH GROUP, INC.",JACKSON,NC,C3,"$1,351,025 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36407,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"KINSTON COMMUNITY HEALTH CENTER, INC",KINSTON,NC,C3,"$553,830 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36407,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"KINSTON COMMUNITY HEALTH CENTER, INC",KINSTON,NC,C3,"$177,395 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36365,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,First Choice Community Health Centers,MAMERS,NC,C3,"$740,870 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36356,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,CRAVEN COUNTY GOVERNMENT,NEW BERN,NC,C3,"$635,615 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36349,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,C3,"$693,061 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36349,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,C3,"$594,199 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36353,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"OCRACOKE HEALTH CENTER, INC",OCRACOKE,NC,C3,"$143,525 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36353,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"OCRACOKE HEALTH CENTER, INC",OCRACOKE,NC,C3,"$418,215 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36388,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Advance Community Health, Inc.",RALEIGH,NC,C3,"$832,343 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36388,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Advance Community Health, Inc.",RALEIGH,NC,C3,"$105,297 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36357,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$914,750 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36430,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Opportunities Industrialization Center, Inc",ROCKY MOUNT,NC,C3,"$551,620 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36430,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Opportunities Industrialization Center, Inc",ROCKY MOUNT,NC,C3,"$66,711 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36430,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Opportunities Industrialization Center, Inc",ROCKY MOUNT,NC,C3,"$76,579 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36363,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,PERSON FAMILY MEDICAL CENTER,ROXBORO,NC,C3,"$646,940 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36487,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"GREENE COUNTY HEALTH CARE, INC",SNOWHILL,NC,C3,"$1,726,358 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36487,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"GREENE COUNTY HEALTH CARE, INC",SNOWHILL,NC,C3,"$361,137 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36410,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,STEDMAN WADE HEALTH SERVICES INC,WADE,NC,C3,"$639,740 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36359,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,ANSON REGIONAL MEDICAL SERVICES,WADESBORO,NC,C3,"$561,335 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36384,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"METROPOLITAN COMMUNITY HEALTH SERVICES, INC",WASHINGTON,NC,C3,"$629,720 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36355,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,WILKES COUNTY OF,WILKESBORO,NC,C3,"$580,565 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36409,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"NEW HANOVER COMMUNITY HEALTH CENTER, INC",WILMINGTON,NC,C3,"$117,158 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36409,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"NEW HANOVER COMMUNITY HEALTH CENTER, INC",WILMINGTON,NC,C3,"$604,257 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36491,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Carolina Family Health Centers, Inc.",WILSON,NC,C3,"$630,727 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36491,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"Carolina Family Health Centers, Inc.",WILSON,NC,C3,"$453,928 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36370,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,BERTIE COUNTY RURAL HEALTH ASSOCIATION,WINDSOR,NC,C3,"$559,460 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36352,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,UNITED HEALTH CENTERS,WINSTON-SALEM,NC,C3,"$32,823 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36352,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,UNITED HEALTH CENTERS,WINSTON-SALEM,NC,C3,"$677,642 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36411,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,"CASWELL FAMILY MEDICAL CENTER, INC",YANCEYVILLE,NC,C3,"$573,605 "
IHS,93.21,Tribal Self-Governance Program: IHS Compacts/Funding Agreements ,65G020078,SELF-GOVERNANCE,4/6/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C3,"$2,149,506 "
IHS,93.21,Tribal Self-Governance Program: IHS Compacts/Funding Agreements ,65G020078,SELF-GOVERNANCE,4/6/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C3,"$1,394,707 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP190591,Hospital Preparedness Program Cooperative Agreement (Program Announcement EP-U3R-19-001),3/29/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,CV,"$764,686 "
IHS,93.21,Tribal Self-Governance Program: IHS Compacts/Funding Agreements ,65G020078,SELF-GOVERNANCE,3/28/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C2,"$372,142 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C35011,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/26/2020,"METROPOLITAN COMMUNITY HEALTH SERVICES, INC",WASHINGTON,NC,CV,$0 
ACL,93.047,"Special Programs for the Aging, Title VI, Part A, Grants to Indian Tribes, Part B, Grants to Native Hawaiians",2001NCNAC2,NAC2-2020,3/24/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C2,"$62,270 "
ACL,93.045,"Special Programs for the Aging, Title III, Part C, Nutrition Services",2001NCHDC2,HDC2-2020,3/20/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C2,"$4,926,281 "
ACL,93.045,"Special Programs for the Aging, Title III, Part C, Nutrition Services",2001NCCMC2,CMC2-2020,3/20/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C2,"$2,463,141 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34545,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,Roanoke Chowan Community Health Center Inc,AHOSKIE,NC,CV,"$39,808 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34545,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,Roanoke Chowan Community Health Center Inc,AHOSKIE,NC,CV,"$23,661 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34536,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Medical Resource Center for Randolph County, Inc.",ASHEBORO,NC,CV,"$56,585 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34531,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,CV,"$53,313 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34531,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,CV,"$13,735 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34560,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,APPALACHIAN MOUNTAIN COMMUNITY HEALTH CENTERS,ASHEVILLE,NC,CV,"$51,802 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34560,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,APPALACHIAN MOUNTAIN COMMUNITY HEALTH CENTERS,ASHEVILLE,NC,CV,"$10,610 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34531,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,CV,"$15,149 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34530,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,BAKERSVILLE COMMUNITY MEDICAL CLINIC,BAKERSVILLE,NC,CV,"$5,626 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34530,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,BAKERSVILLE COMMUNITY MEDICAL CLINIC,BAKERSVILLE,NC,CV,"$51,256 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34533,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,HIGH COUNTRY COMMUNITY HEALTH,BOONE,NC,CV,"$17,275 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34547,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,APPALACHIAN DISTRICT HEALTH DEPARTMENT,BOONE,NC,CV,"$57,061 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34533,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,HIGH COUNTRY COMMUNITY HEALTH,BOONE,NC,CV,"$44,464 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34539,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"PIEDMONT HEALTH SERVICES, INC",CHAPEL HILL,NC,CV,"$3,577 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34539,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"PIEDMONT HEALTH SERVICES, INC",CHAPEL HILL,NC,CV,"$129,408 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34561,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"CHARLOTTE COMMUNITY HEALTH CLINIC, INC",CHARLOTTE,NC,CV,"$16,306 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34528,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"C.W. Williams Community Health Center, Inc.",CHARLOTTE,NC,CV,"$61,351 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34561,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"CHARLOTTE COMMUNITY HEALTH CLINIC, INC",CHARLOTTE,NC,CV,"$48,918 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34562,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"WEST CALDWELL HEALTH COUNCIL, INC",COLLETTSVILLE,NC,CV,"$55,380 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34544,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Cabarrus Rowan Community Health Centers, Inc",CONCORD,NC,CV,"$66,284 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34544,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Cabarrus Rowan Community Health Centers, Inc",CONCORD,NC,CV,$447 
