Provider Name,City,State,Claims Paid By Treatment,Claims Paid By Testing
SOUTHWEST WOMENS HEALT,HOUSTON,TX,$0 ,$55 
SOUTHWEST WOMENS HEALT,HOUSTON,TX,"$1,389 ","$6,335 "
SOUTHWEST WOMENS HEALT,HOUSTON,TX,$0 ,$295 
SOUTHWEST WOMENS HEALT,HOUSTON,TX,$0 ,$139 
SOUTHWEST WOMENS HEALT,HOUSTON,TX,$0 ,"$2,777 "
SOUTHWEST WOMENS HEALT,HOUSTON,TX,$0 ,$400 
SOUTHWEST WOMENS HEALT,HOUSTON,TX,$0 ,$180 
SOUTHWEST WOMENS HEALT,HOUSTON,TX,"$6,520 ",$107 
SOUTHWEST WOMENS HEALT,HOUSTON,TX,$0 ,$369 
SOUTHWEST WOMENS HEALT,HOUSTON,TX,$0 ,$286 
SOUTHWEST WOMENS HEALT,HOUSTON,TX,"$4,916 ",$235 
SPECLTY ASSOCIATES OF,HOUSTON,TX,$78 ,$0 
SPRING BRANCH COMMUNIT,HOUSTON,TX,$45 ,$0 
SPRING BRANCH COMMUNIT,HOUSTON,TX,"$1,409 ",$123 
SPRING BRANCH COMMUNIT,HOUSTON,TX,"$1,258 ",$45 
SR MEDICAL CLINIC PLLC,HOUSTON,TX,"$3,011 ",$0 
ST JOHNS PHYSICIAN ASS,HOUSTON,TX,"$29,620 ","$54,273 "
ST JOSEPH EMERGENCY PH,HOUSTON,TX,$591 ,"$1,119 "
ST JOSEPH EMERGENCY PH,HOUSTON,TX,"$6,900 ","$1,977 "
ST JOSEPH MEDICAL CENT,HOUSTON,TX,"$2,022,481 ","$70,628 "
ST LUKES HOSPITAL AT T,HOUSTON,TX,"$19,411 ","$13,258 "
STEEPLETOP CREEK INPAT,HOUSTON,TX,"$70,464 ",$0 
SUDHEER K SANKAR MD PA,HOUSTON,TX,"$20,695 ",$0 
SUDHEER K SANKAR MD PA,HOUSTON,TX,"$35,005 ",$0 
SURAINDER K AJMANI MD,HOUSTON,TX,"$11,021 ",$0 
SURAINDER K AJMANI MD,HOUSTON,TX,"$11,485 ",$0 
SURGERY ASSOCIATES OF,HOUSTON,TX,"$9,131 ",$0 
SURGERY ASSOCIATES OF,HOUSTON,TX,$355 ,$0 
SYNERGENE LABORATORY L,HOUSTON,TX,$300 ,"$49,930 "
TEXANS ANESTHESIA  ASS,HOUSTON,TX,"$1,122 ",$0 
TEXANS ANESTHESIA  ASS,HOUSTON,TX,"$1,360 ",$0 
TEXAS ORTHOPEDIC HOSPI,HOUSTON,TX,$0 ,$103 
THE METHODIST HOSPITAL,HOUSTON,TX,"$2,718,347 ","$136,391 "
TMH PHYSICIAN ASSOCIAT,HOUSTON,TX,"$64,753 ",$0 
TMH PHYSICIAN ASSOCIAT,HOUSTON,TX,$20 ,$20 
TMH PHYSICIAN ASSOCIAT,HOUSTON,TX,$40 ,$0 
TMH PHYSICIAN ASSOCIAT,HOUSTON,TX,$461 ,$0 
TMH PHYSICIAN ASSOCIAT,HOUSTON,TX,"$144,946 ",$20 
TODD M PRICE,HOUSTON,TX,"$10,124 ",$0 
TODD M PRICE,HOUSTON,TX,"$96,817 ",$0 
TOPCARE MEDICAL GROUP,HOUSTON,TX,$0 ,$116 
TOPCARE MEDICAL GROUP,HOUSTON,TX,$130 ,$51 
TOPCARE MEDICAL GROUP,HOUSTON,TX,$51 ,$0 
UNITED MEMORIAL MEDICA,HOUSTON,TX,"$46,206 ",$0 
UNIVERSITY MEDICAL CEN,HOUSTON,TX,"$1,653 ",$100 
URGENT CARE PHYSICIANS,HOUSTON,TX,"$34,820 ","$868,737 "
VAH INC EAST HOUSTON U,HOUSTON,TX,"$3,913 ","$36,151 "
VAKIL PULMONARY AND CR,HOUSTON,TX,"$29,646 ",$0 
VILLAGE FIRE DEPARTMEN,HOUSTON,TX,"$1,245 ",$0 
WAEL ASI MD PA,HOUSTON,TX,"$54,462 ",$0 
WAEL ASI MD PA,HOUSTON,TX,"$65,714 ",$0 
WEST HOUSTON EMERGENCY,HOUSTON,TX,"$27,427 ","$79,421 "
WEST HOUSTON LUNG CENT,HOUSTON,TX,"$51,022 ",$0 
WEST HOUSTON MEDICAL C,HOUSTON,TX,"$4,004,100 ","$305,435 "
WEST HOUSTON MEDICAL S,HOUSTON,TX,"$1,935 ","$28,599 "
WESTFIELD URGENT CARE,HOUSTON,TX,$0 ,$173 
WESTLAKE MEDICAL CLINI,HOUSTON,TX,$378 ,"$3,436 "
WOMANS HOSPITAL OF TEX,HOUSTON,TX,"$232,259 ","$43,698 "
WOODLANDS EMERGENCY PH,HOUSTON,TX,"$5,373 ","$30,448 "
WOODLANDS EMERGENCY PH,HOUSTON,TX,$808 ,"$6,366 "
XPERTMD PLLC,HOUSTON,TX,$328 ,$0 
XPERTMD PLLC,HOUSTON,TX,"$3,660 ",$0 
LIBERTY COUNTY EMS,HULL,TX,$490 ,$0 
LIBERTY COUNTY EMS,HULL,TX,$453 ,$0 
CITY OF HUMBLE,HUMBLE,TX,"$5,069 ",$0 
GET WELL HEALTHCARE SE,HUMBLE,TX,$144 ,"$33,874 "
HOSPITAL DOCS PA,HUMBLE,TX,$291 ,$0 
HOSPITAL DOCS PA,HUMBLE,TX,"$3,278 ",$0 
IPC HEALTHCARE SERVICE,HUMBLE,TX,$704 ,$0 
MEMORIAL HERMANN HEALT,HUMBLE,TX,"$1,902,707 ","$24,730 "
MEMORIAL HERMANN HOSPI,HUMBLE,TX,"$11,556 ","$18,643 "
MEMORIAL HERMANN MEDIC,HUMBLE,TX,"$45,018 ",$0 
NORTH HOUSTON RESPIRAT,HUMBLE,TX,"$27,246 ",$0 
SOUTHWEST WOMENS HEALT,HUMBLE,TX,$269 ,$376 
THAI D NGUYEN MD PA,HUMBLE,TX,"$4,098 ",$0 
URGENTCARE MDS,HUMBLE,TX,"$1,584 ","$11,053 "
URGENTCARE MDS,HUMBLE,TX,$239 ,"$3,120 "
XIMENA MILLAN MD PA,HUMBLE,TX,"$3,413 ",$0 
CAROL LYNN COGLIANESE,HUNTSVILLE,TX,$661 ,$0 
CAROL LYNN COGLIANESE,HUNTSVILLE,TX,"$1,759 ",$0 
HOSPITAL DOCS PA,HUNTSVILLE,TX,"$2,015 ",$0 
HOSPITAL DOCS PA,HUNTSVILLE,TX,"$5,071 ",$0 
HUNTSVILLE COMMUNITY H,HUNTSVILLE,TX,"$18,393 ","$41,818 "
LONE STAR FAMILY HEALT,HUNTSVILLE,TX,$133 ,$595 
SUDHIR SEHGAL MD PLLC,HUNTSVILLE,TX,"$1,130 ",$0 
SUDHIR SEHGAL MD PLLC,HUNTSVILLE,TX,"$6,458 ",$0 
AUSTIN REGIONAL CLINIC,HUTTO,TX,$753 ,"$3,786 "
LONE STAR CIRCLE OF CA,HUTTO,TX,$370 ,"$1,059 "
SCOTT WHITE CLINIC,HUTTO,TX,$0 ,$51 
BAYLOR MED CTR AT IRVI,IRVING,TX,"$1,706,162 ","$69,363 "
CAMPION EMERGENCY PHYS,IRVING,TX,$175 ,$543 
CENTURY INTEGRATED PAR,IRVING,TX,"$52,765 ","$58,146 "
DALLAS ID ASSOCIATES P,IRVING,TX,"$141,107 ",$0 
DFW PRIMARY CARE  PLLC,IRVING,TX,$0 ,$310 
GIBSON DIAGNOSTIC LABS,IRVING,TX,"$1,600 ","$113,700 "
HEALTH TEXAS PROVIDER,IRVING,TX,"$8,477 ",$848 
HEALTH TEXAS PROVIDER,IRVING,TX,$0 ,$85 
HEALTH TEXAS PROVIDER,IRVING,TX,$442 ,$174 
HEALTH TEXAS PROVIDER,IRVING,TX,$78 ,$35 
HEALTH TEXAS PROVIDER,IRVING,TX,$35 ,$0 
IRVING LONG TERM CARE,IRVING,TX,$0 ,"$4,500 "
LAS COLINAS MEDICAL CE,IRVING,TX,"$262,425 ","$115,896 "
MATTISON PATHOLOGY DBA,IRVING,TX,"$1,129 ","$2,977 "
NORTH TEXAS PULMONARY,IRVING,TX,"$3,581 ",$0 
NORTH TEXAS PULMONARY,IRVING,TX,"$2,353 ",$0 
QUESTCARE HOSPITALISTS,IRVING,TX,"$104,164 ",$0 
SOUTHWEST PULMONARY AS,IRVING,TX,"$5,692 ",$0 
TOPCARE MEDICAL GROUP,IRVING,TX,$296 ,$539 
TOPCARE MEDICAL GROUP,IRVING,TX,$0 ,$165 
UNIVERSITY OF TEXAS SO,IRVING,TX,$114 ,$0 
CONCORD MEDICAL GROUP,JACKSBORO,TX,$831 ,"$9,150 "
CONCORD MEDICAL GROUP,JACKSBORO,TX,"$12,391 ","$50,280 "
CONCORD RADIOLOGY,JACKSBORO,TX,$91 ,$0 
ETMC PHYSICIAN GROUP I,JACKSONVILLE,TX,"$14,021 ",$0 
MOTHER FRANCES HOSPITA,JACKSONVILLE,TX,"$67,516 ","$8,330 "
UTHEALTH JACKSONVILLE,JACKSONVILLE,TX,"$234,094 ","$38,753 "
UTHEALTH JACKSONVILLE,JACKSONVILLE,TX,$606 ,"$4,364 "
ABRAHAM CHERIYAN MD PA,JASPER,TX,"$4,279 ",$0 
CHRISTUS HEALTH S EAST,JASPER,TX,"$267,438 ","$1,950 "
NIGHTLIGHT PEDIATRIC U,JERSEY VILLAGE,TX,$539 ,"$13,468 "
NORTH BLANCO COUNTY EM,JOHNSON CITY,TX,"$1,110 ",$0 
SCOTT AND WHITE HOSPIT,JOHNSON CITY,TX,$0 ,$54 
BHS PHYSICIANS NETWORK,JOURDANTON,TX,$103 ,$0 
METHODIST HEALTHCARE S,JOURDANTON,TX,"$232,797 ","$183,081 "
MICHAEL  A MCFARLAND,JOURDANTON,TX,$0 ,"$13,170 "
MICHAEL  A MCFARLAND,JOURDANTON,TX,$73 ,"$5,350 "
REMINGTON EMERGENCY PH,JOURDANTON,TX,"$3,203 ","$9,507 "
FRONTERA HEALTHCARE NE,JUNCTION,TX,$117 ,"$7,243 "
ANIL K CHUNDURI MD PA,KATY,TX,$593 ,$0 
ANKUR A DOSHI,KATY,TX,$0 ,$129 
ANKUR A DOSHI,KATY,TX,$0 ,$543 
CARSON T LO MD PA,KATY,TX,"$39,356 ",$0 
HOUSTON METHODIST ST C,KATY,TX,"$338,698 ",$0 
JAIME L ROMAN PAVAJEAU,KATY,TX,"$4,467 ",$0 
KIRBY EMERGENCY PHYSIC,KATY,TX,$0 ,$496 
KIRBY EMERGENCY PHYSIC,KATY,TX,"$1,511 ","$6,387 "
LIFECARE PRIMARY MEDIC,KATY,TX,$0 ,"$2,360 "
LIFELINE URGENT CARE,KATY,TX,"$2,630 ","$29,934 "
LIFELINE URGENT CARE,KATY,TX,$313 ,"$2,856 "
LONESTAR HOSPITAL MEDI,KATY,TX,$315 ,$0 
MAKARIOS HOSPITALIST G,KATY,TX,$997 ,$0 
MARIAMA SAHOR,KATY,TX,$0 ,"$2,786 "
MARIAMA SAHOR,KATY,TX,$0 ,"$5,133 "
MEMORIAL HERMANN HEALT,KATY,TX,"$452,178 ","$7,977 "
MEMORIAL HERMANN HOSPI,KATY,TX,"$9,518 ","$34,252 "
MEMORIAL HERMANN MEDIC,KATY,TX,"$16,886 ",$0 
MEMORIAL PULMONARY AND,KATY,TX,"$152,675 ",$0 
MINUTECLINIC DIAGNOSTI,KATY,TX,"$33,637 ","$3,903,919 "
PREFERRED PRIMARY CARE,KATY,TX,"$1,899 ","$42,876 "
PREFERRED URGENT CARE,KATY,TX,"$1,046 ","$31,309 "
PREFERRED URGENT CARE,KATY,TX,$346 ,"$6,009 "
SCENIC MOUNTAIN MEDICA,KATY,TX,"$2,091 ",$0 
SOUTHWEST WOMENS HEALT,KATY,TX,$0 ,$189 
SPRING BRANCH COMMUNIT,KATY,TX,"$5,407 ","$9,816 "
SPRING BRANCH COMMUNIT,KATY,TX,$264 ,$0 
STERLING OAKS REHABILI,KATY,TX,$0 ,"$8,600 "
TMH PHYSICIAN ASSOCIAT,KATY,TX,$64 ,$0 
TEXAS HEALTH KAUFMAN,KAUFMAN,TX,"$189,167 ",$0 
TEXAS HEALTH KAUFMAN,KAUFMAN,TX,"$121,877 ",$125 
TEXAS HEALTH PHYSICIAN,KAUFMAN,TX,"$3,021 ",$0 
24 HOUR PHYSICIANS INC,KELLER,TX,$662 ,"$7,260 "
CR EMERGENCY ROOM LLC,KELLER,TX,"$13,432 ",$791 
CR EMERGENCY ROOM LLC,KELLER,TX,"$14,290 ","$10,450 "
MARK E GIBBS,KELLER,TX,$0 ,$51 
MARK E GIBBS,KELLER,TX,$0 ,$257 
TEXAS HEALTH PHYSICIAN,KELLER,TX,$0 ,$108 
KARNES COUNTY EMS,KENEDY,TX,"$4,622 ",$0 
KARNES COUNTY EMS,KENEDY,TX,$606 ,$0 
WINKLER COUNTY HOSPITA,KERMIT,TX,$535 ,"$2,524 "
PETERSON REGIONAL MEDI,KERRVILLE,TX,"$95,608 ","$74,507 "
ACUTE CARE SPECIALIST,KILGORE,TX,"$1,199 ","$3,054 "
ACUTE CARE SPECIALIST,KILGORE,TX,$0 ,$298 
AMERICAN HOME PATIENT,KILLEEN,TX,$618 ,$0 
AMERICAN HOME PATIENT,KILLEEN,TX,"$1,607 ",$0 
EMERGENCY ASSOCIATES O,KILLEEN,TX,"$6,695 ","$73,696 "
HILL COUNTRY EMERGENCY,KILLEEN,TX,"$1,562 ","$1,373 "
METROPLEX ADVENTIST HO,KILLEEN,TX,"$132,745 ","$163,556 "
METROPLEX CLINIC PHYSI,KILLEEN,TX,$105 ,$0 
SCOTT WHITE CLINIC,KILLEEN,TX,$707 ,$146 
SCOTT WHITE CLINIC,KILLEEN,TX,$195 ,$100 
SCOTT WHITE CLINIC,KILLEEN,TX,"$1,577 ",$0 
SCOTT WHITE CLINIC,KILLEEN,TX,$306 ,$0 
SCOTT AND WHITE HOSPIT,KINGSLAND,TX,$0 ,$25 
SETON FAMILY OF HOSPIT,KINGSLAND,TX,$0 ,$246 
CHRISTUS SPOHN HEALTHC,KINGSVILLE,TX,"$317,333 ","$37,188 "
GUADALUPE EMERGENCY ME,KINGSVILLE,TX,"$3,146 ",$298 
ALPHA OMEGA INFECTIOUS,KINGWOOD,TX,"$9,161 ",$0 
ESSAM A GIRGAWY MD PA,KINGWOOD,TX,"$3,267 ",$0 
HOSPITAL DOCS PA,KINGWOOD,TX,"$3,324 ",$0 
HOSPITAL DOCS PA,KINGWOOD,TX,"$14,951 ",$0 
HPMA II,KINGWOOD,TX,$45 ,$0 
KINGWOOD MEDICAL CENTE,KINGWOOD,TX,"$2,520,239 ","$576,679 "
KINGWOOD PULMONARY PA,KINGWOOD,TX,"$3,252 ",$0 
KINGWOOD PULMONARY PA,KINGWOOD,TX,"$17,501 ",$0 
MEMORIAL HERMANN HOSPI,KINGWOOD,TX,$0 ,$124 
MOHAMMAD O KHAN MD PA,KINGWOOD,TX,"$13,304 ",$0 
MOHAMMAD O KHAN MD PA,KINGWOOD,TX,"$31,363 ",$0 
PULMONARY CRITICAL CAR,KINGWOOD,TX,"$73,698 ",$0 
SYNERGY RADIOLOGY ASSO,KINGWOOD,TX,"$18,797 ","$4,094 "
URGENT CARE PHYSICIANS,KINGWOOD,TX,"$8,387 ","$153,896 "
AUSTIN REGIONAL CLINIC,KYLE,TX,"$3,902 ","$37,206 "
SCOTT WHITE CLINIC,KYLE,TX,$74 ,$73 
SETON FAMILY OF HOSPIT,KYLE,TX,"$203,754 ","$155,338 "
TRI COUNTY PRACTICE AS,KYLE,TX,$920 ,"$1,565 "
TEJAS HEALTH CARE,LA GRANGE,TX,$338 ,"$2,916 "
TEJAS HEALTH CARE,LA GRANGE,TX,$353 ,"$9,828 "
BAY AREA TRANSITIONAL,LA MARQUE,TX,"$13,747 ",$0 
BAY AREA TRANSITIONAL,LA MARQUE,TX,"$2,407 ",$467 
CITY OF LA MARQUE,LA MARQUE,TX,$923 ,$0 
AFC URGENT CARE,LA PORTE,TX,$613 ,"$48,884 "
AFC URGENT CARE,LA PORTE,TX,"$1,527 ","$106,930 "
IPC PAC HEALTHCARE SER,LA PORTE,TX,$90 ,$0 
REPUBLIC EMS LTD,LA PORTE,TX,"$22,891 ",$0 
SCOTT WHITE CLINIC,LAGO VISTA,TX,$77 ,$0 
TIMBERLAND MEDICAL GRO,LAGO VISTA,TX,$0 ,$445 
UNIVERSITY OF TEXAS RI,LAGUNA VISTA,TX,$807 ,"$3,535 "
ALTUS LAKE JACKSON LP,LAKE JACKSON,TX,$922 ,$0 
BRAZOSPORT REGIONAL HL,LAKE JACKSON,TX,"$13,960 ","$5,392 "
OXBOW EMERGENCY PHYSIC,LAKE JACKSON,TX,"$23,186 ","$45,066 "
SANJAY AGGARWAL MD PA,LAKE JACKSON,TX,$361 ,$0 
SANJAY AGGARWAL MD PA,LAKE JACKSON,TX,"$4,585 ",$0 
SCOTT WHITE CLINIC,LAKEWAY,TX,$956 ,$113 
SCOTT WHITE CLINIC,LAKEWAY,TX,$73 ,$0 
CONCORD MEDICAL GROUP,LAMESA,TX,$0 ,$64 
METROPLEX ADVENTIST HO,LAMPASAS,TX,"$17,989 ","$17,864 "
TRI COUNTY PRACTICE AS,LAMPASAS,TX,"$1,159 ",$0 
CRESCENT MEDICAL CENTE,LANCASTER,TX,"$94,235 ",$474 
BRIGHTSTAR OF LAREDO,LAREDO,TX,$0 ,"$4,434 "
BRIGHTSTAR OF LAREDO,LAREDO,TX,$0 ,"$18,252 "
CITY OF LAREDO FIRE DE,LAREDO,TX,"$29,712 ",$0 
CLEAR CHOICE EMERGENCY,LAREDO,TX,"$5,614 ","$123,412 "
CLEAR CHOICE PHYSICIAN,LAREDO,TX,"$1,912 ","$41,227 "
DOCTORS HOSPITAL OF LA,LAREDO,TX,"$186,467 ",$0 
FERNANDO SANCHEZ ID PA,LAREDO,TX,"$96,818 ",$0 
GASTROENTEROLOGY CONSU,LAREDO,TX,"$1,071 ",$0 
GATEWAY COMMUNITY HEAL,LAREDO,TX,$158 ,"$2,749 "
HCC OF LAREDO LLC,LAREDO,TX,"$13,752 ",$0 
HCC OF LAREDO LLC,LAREDO,TX,"$29,522 ",$0 
HECTOR GARCIA,LAREDO,TX,$0 ,"$1,863 "
HECTOR GARCIA,LAREDO,TX,$0 ,"$1,525 "
HNI MEDICAL SERVICES,LAREDO,TX,$200 ,$0 
HNI MEDICAL SERVICES,LAREDO,TX,"$4,477 ",$0 
JOSEPH P CAMERO MD,LAREDO,TX,"$5,676 ",$0 
LAREDO EMERGENCY MEDIC,LAREDO,TX,"$61,179 ","$3,527 "
LAREDO MEDICAL CENTER,LAREDO,TX,"$512,940 ","$30,676 "
LAREDO MEDICAL CENTER,LAREDO,TX,"$1,595,154 ","$119,444 "
LAREDO SPECIALTY HOSPI,LAREDO,TX,"$260,842 ",$0 
MCADAMS EMERGENCY MEDI,LAREDO,TX,"$3,620 ",$129 
MCADAMS EMERGENCY MEDI,LAREDO,TX,"$2,180 ",$0 
RAFAEL J DELIZ,LAREDO,TX,"$16,954 ",$0 
RAFAEL J DELIZ,LAREDO,TX,"$3,447 ",$0 
REGIONAL EMPLOYEE ASSI,LAREDO,TX,$0 ,$95 
REGIONAL EMPLOYEE ASSI,LAREDO,TX,$500 ,$100 
URGENT CARE ON DEL MAR,LAREDO,TX,"$1,954 ","$72,027 "
VITAL MED URGENT CARE,LAREDO,TX,$993 ,"$7,961 "
VITAL MED URGENT CARE,LAREDO,TX,$553 ,"$3,239 "
WEBB EMERGENCY MEDICIN,LAREDO,TX,"$12,860 ",$523 
WEBB EMERGENCY MEDICIN,LAREDO,TX,"$7,552 ",$351 
BOCACCIO INPATIENT SER,LEAGUE CITY,TX,"$6,106 ",$0 
MEMORIAL HERMANN MEDIC,LEAGUE CITY,TX,"$48,153 ",$0 
STEPHEN F AUSTIN,LEAGUE CITY,TX,$417 ,$516 
STEPHEN F AUSTIN,LEAGUE CITY,TX,$339 ,"$3,457 "
TEXAS EM I MEDICAL SER,LEAGUE CITY,TX,"$1,666 ","$5,411 "
TMH PHYSICIAN ASSOCIAT,LEAGUE CITY,TX,$20 ,$0 
UTMB FACULTY GROUP PRA,LEAGUE CITY,TX,$203 ,"$2,435 "
AUSTIN REGIONAL CLINIC,LEANDER,TX,$709 ,"$4,941 "
TIMBERLAND MEDICAL GRO,LEANDER,TX,$303 ,"$1,840 "
COVENANT HOSPITAL LEVE,LEVELLAND,TX,"$22,438 ","$17,384 "
ESS OF WEST TEXAS LLC,LEVELLAND,TX,$0 ,$171 
ESS OF WEST TEXAS LLC,LEVELLAND,TX,$775 ,$351 
HEALTH TEXAS PROVIDER,LEWISVILLE,TX,$73 ,$0 
INFECTIOUS DISEASE DOC,LEWISVILLE,TX,"$19,677 ",$0 
MEDICAL CENTER OF LEWS,LEWISVILLE,TX,"$634,482 ","$202,293 "
NORTH TEXAS PULMONARY,LEWISVILLE,TX,"$16,011 ",$0 
NORTH TEXAS PULMONARY,LEWISVILLE,TX,"$1,525 ",$0 
TEXAS HEALTH PHYSICIAN,LEWISVILLE,TX,$0 ,$125 
LIBERTY COUNTY HOSPITA,LIBERTY,TX,$215 ,"$32,674 "
TIMBERLAND MEDICAL GRO,LIBERTY HILL,TX,$0 ,$891 
CITY OF LITTLEFIELD EM,LITTLEFIELD,TX,"$1,879 ",$0 
LHC FAMILY MEDICINE,LITTLEFIELD,TX,$627 ,"$1,940 "
BHS PHYSICIANS NETWORK,LIVE OAK,TX,$0 ,$318 
CARDIOLOGY CLINIC OF S,LIVE OAK,TX,"$2,468 ",$0 
CHRISTOPHER J EVERETT,LIVE OAK,TX,"$10,299 ",$0 
CHRISTOPHER J EVERETT,LIVE OAK,TX,"$7,729 ",$0 
J ERIC STUPKA MD PA,LIVE OAK,TX,"$9,958 ",$0 
J ERIC STUPKA MD PA,LIVE OAK,TX,"$2,673 ",$0 
JUAN A GARCIA MD PA,LIVE OAK,TX,"$4,362 ",$0 
JUAN A GARCIA MD PA,LIVE OAK,TX,"$4,423 ",$0 
JUDSON ROAD EMERGENCY,LIVE OAK,TX,"$10,595 ","$14,507 "
JUDSON ROAD EMERGENCY,LIVE OAK,TX,$610 ,"$3,444 "
METHODIST HEALTHCARE S,LIVE OAK,TX,"$762,996 ","$397,576 "
MONTERREY VILLAGE INPA,LIVE OAK,TX,"$14,076 ",$0 
PULMONOLOGY AND SLEEP,LIVE OAK,TX,$549 ,$0 
RENAL ASSOCIATES,LIVE OAK,TX,"$1,494 ",$0 
ROBERT  E  WINSETT  DO,LIVE OAK,TX,"$1,537 ",$0 
S RODRIGO BURGUETE MD,LIVE OAK,TX,"$6,760 ",$0 
S RODRIGO BURGUETE MD,LIVE OAK,TX,"$2,584 ",$0 
SOUTH TEXAS CARDIOLOGY,LIVE OAK,TX,$62 ,$62 
SOUTH TEXAS RENAL CARE,LIVE OAK,TX,$106 ,$611 
STEPHEN S IM MD PA,LIVE OAK,TX,"$10,833 ",$0 
STEPHEN S IM MD PA,LIVE OAK,TX,"$2,859 ",$0 
TXI MEDICAL SERVICES P,LIVE OAK,TX,"$6,650 ","$22,747 "
MEMORIAL MED CENTER LI,LIVINGSTON,TX,$0 ,"$4,174 "
SINGLETON ASSOCIATES P,LIVINGSTON,TX,$10 ,$0 
SCOTT AND WHITE HOSPIT,LLANO,TX,$0 ,"$2,116 "
SCOTT WHITE CLINIC,LLANO,TX,$312 ,$0 
SCOTT WHITE CLINIC,LLANO,TX,$9 ,$0 
TRI COUNTY PRACTICE AS,LOCKHART,TX,$130 ,$247 
TEXAS TECH UNIVERSITY,LOCKNEY,TX,$218 ,$0 
W J MANGOLD MEMORIAL H,LOCKNEY,TX,$25 ,"$1,040 "
ACUTE CARE SPECIALIST,LONGVIEW,TX,$649 ,"$1,176 "
ACUTE CARE SPECIALIST,LONGVIEW,TX,$0 ,$244 
ACUTE CARE SPECIALIST,LONGVIEW,TX,"$4,863 ","$13,785 "
ACUTE CARE SPECIALIST,LONGVIEW,TX,$244 ,"$1,758 "
ASSOCIATED CLINICIANS,LONGVIEW,TX,$0 ,$276 
ASSOCIATED CLINICIANS,LONGVIEW,TX,$0 ,$371 
ASSOCIATED CLINICIANS,LONGVIEW,TX,"$4,214 ","$1,363 "
ASSOCIATED CLINICIANS,LONGVIEW,TX,$0 ,$161 
HOSPITAL BASED MEDICAL,LONGVIEW,TX,$0 ,$189 
LONGVIEW REGIONAL MEDI,LONGVIEW,TX,"$227,860 ","$93,259 "
MEDICAL IMAGING CONSUL,LONGVIEW,TX,$109 ,$0 
NUVIEW HEALTH TEXAS PA,LONGVIEW,TX,$233 ,$0 
REGIONAL CLINICS OF LO,LONGVIEW,TX,"$1,423 ",$74 
SPECIAL HEALTH RESOURC,LONGVIEW,TX,$312 ,$138 
TRINITY CLINIC,LONGVIEW,TX,$280 ,$0 
WELLNESS POINTE,LONGVIEW,TX,$0 ,$190 
COVENANT CHILDRENS HOS,LUBBOCK,TX,$898 ,"$31,141 "
COVENANT MEDICAL CENTE,LUBBOCK,TX,"$318,377 ","$272,416 "
COVENANT MEDICAL GROUP,LUBBOCK,TX,$89 ,$722 
COVENANT MEDICAL GROUP,LUBBOCK,TX,"$10,221 ","$49,966 "
COVENANT MEDICAL GROUP,LUBBOCK,TX,$341 ,"$3,710 "
COVENANT MEDICAL GROUP,LUBBOCK,TX,"$21,556 ","$4,888 "
COVENANT MEDICAL GROUP,LUBBOCK,TX,"$2,495 ","$6,112 "
COVENANT MEDICAL GROUP,LUBBOCK,TX,$579 ,$118 
GRACE CLINIC OF LUBBOC,LUBBOCK,TX,$0 ,$62 
GRACE CLINIC OF LUBBOC,LUBBOCK,TX,"$1,857 ","$3,967 "
LHH EMERGENCY PHYSICIA,LUBBOCK,TX,"$3,888 ","$15,200 "
LUBBOCK COUNTY HOSPITA,LUBBOCK,TX,"$1,470,132 ",$100 
LUBBOCK HERITAGE HOSPI,LUBBOCK,TX,"$1,956 ","$20,538 "
TEXAS TECH UNIVERSITY,LUBBOCK,TX,"$1,064 ",$0 
TEXAS TECH UNIVERSITY,LUBBOCK,TX,$90 ,$0 
TEXAS TECH UNIVERSITY,LUBBOCK,TX,$190 ,$79 
TEXAS TECH UNIVERSITY,LUBBOCK,TX,$304 ,$0 
TEXAS TECH UNIVERSITY,LUBBOCK,TX,"$38,066 ",$0 
UMC EC PHYSICIANS,LUBBOCK,TX,"$6,338 ",$0 
UMC EC PHYSICIANS,LUBBOCK,TX,"$14,644 ",$0 
UMC MEDICAL PROFESSION,LUBBOCK,TX,"$19,096 ",$0 
UMC PHYSICIANS,LUBBOCK,TX,$0 ,$551 
UMC PHYSICIANS,LUBBOCK,TX,$252 ,"$1,239 "
UMC PHYSICIANS,LUBBOCK,TX,$0 ,$254 
UMC PHYSICIANS,LUBBOCK,TX,$0 ,$21 
UMC PHYSICIANS,LUBBOCK,TX,$146 ,$90 
UMC PHYSICIANS,LUBBOCK,TX,"$2,529 ","$34,136 "
UMC PHYSICIANS,LUBBOCK,TX,$0 ,"$1,112 "
UMC PHYSICIANS,LUBBOCK,TX,$0 ,$199 
UMC PHYSICIANS,LUBBOCK,TX,$0 ,$101 
UMC PHYSICIANS,LUBBOCK,TX,$122 ,$21 
UMC PHYSICIANS,LUBBOCK,TX,"$7,359 ","$57,616 "
UMC PHYSICIANS,LUBBOCK,TX,$0 ,$63 
UMC PHYSICIANS,LUBBOCK,TX,$474 ,$41 
UMC PHYSICIANS,LUBBOCK,TX,$0 ,$123 
WESTERN MOUNTAIN HOSPI,LUBBOCK,TX,$185 ,$0 
YELLOW HOUSE CANYON EM,LUBBOCK,TX,$0 ,$171 
ABRAHAM CHERIYAN MD PA,LUFKIN,TX,"$11,356 ",$0 
ANGELINA EMERGENCY MED,LUFKIN,TX,"$9,734 ",$322 
CAMINO REAL EMERGENCY,LUFKIN,TX,"$4,401 ","$3,754 "
